Bong;BONG;SEK;SE0000396061;Industrials;5020
Bj�rn Borg;BORG;SEK;SE0020050805;Consumer Services;4020
Boule Diagnostics;BOUL;SEK;SE0011231158;Health Care;2010
Bulten;BULTEN;SEK;SE0003849223;Consumer Services;4010
Cantargia;CANTA;SEK;SE0006371126;Health Care;2010
Christian Berner Tech Trade B;CBTT B;SEK;SE0006143129;Industrials;5020
Concejo B;CNCJO B;SEK;SE0000236382;Industrials;5020
C-RAD B;CRAD B;SEK;SE0002016352;Health Care;2010
Dedicare B;DEDI;SEK;SE0003909282;Health Care;2010
DORO;DORO;SEK;SE0000215493;Telecommunications;1510
Duroc B;DURC B;SEK;SE0000331266;Basic Materials;5510
Egetis Therapeutics;EGTX;SEK;SE0003815604;Health Care;2010
Elon;ELON;SEK;SE0001572520;Consumer Services;4040
Eltel;ELTEL;SEK;SE0006509949;Industrials;5020
Eniro Group;ENRO;SEK;SE0011256312;Consumer Services;4030
Episurf B;EPIS B;SEK;SE0003491562;Health Care;2010
Fastator;FASTAT;SEK;SE0015407382;Real Estate;3510
Fingerprint Cards B;FING B;SEK;SE0008374250;Technology;1010
Ferronordic;FNM;SEK;SE0005468717;Industrials;5020
Formpipe Software;FPIP;SEK;SE0001338039;Technology;1010
HAKI Safety A;HAKI A;SEK;SE0000122657;Industrials;5020
HAKI Safety B;HAKI B;SEK;SE0000122673;Industrials;5020
Havsfrun Investment B;HAV B;SEK;SE0000312043;Financials;3020
Infant Bacterial TherapeuticsB;IBT B;SEK;SE0008015259;Health Care;2010
Immunovia;IMMNOV;SEK;SE0006091997;Health Care;2010
Mendus;IMMU;SEK;SE0005003654;Health Care;2010
Infrea;INFREA;SEK;SE0010600106;Industrials;5020
IRLAB Therapeutics A;IRLAB A;SEK;SE0012675361;Health Care;2010
Image Systems;IS;SEK;SE0006421871;Industrials;5020
Isofol Medical;ISOFOL;SEK;SE0009581051;Health Care;2010
K2A Knaust & Andersson B;K2A B;SEK;SE0010520254;Real Estate;3510
K2A Knaust & Andersson Pref;K2A PREF;SEK;SE0006852075;Real Estate;3510
Karnell Group B;KARNEL B;SEK;SE0017832173;Industrials;5020
Karolinska Development B;KDEV;SEK;SE0002190926;Health Care;2010
Lammhults Design Group B;LAMM B;SEK;SE0000386138;Consumer Services;4020
Maha Energy;MAHA A;SEK;SE0008374383;Energy;6010
Malmbergs Elektriska B;MEAB B;SEK;SE0000507659;Industrials;5020
Moberg Pharma;MOB;SEK;SE0020353928;Health Care;2010
Moment Group;MOMENT;SEK;SE0020388932;Consumer Services;4050
Micro Systemation B;MSAB B;SEK;SE0000526626;Technology;1010
Midsona A;MSON A;SEK;SE0000565210;Consumer Goods;4520
Midsona B;MSON B;SEK;SE0000565228;Consumer Goods;4520
Medivir;MVIR;SEK;SE0020181014;Health Care;2010
NAXS;NAXS;SEK;SE0001965369;Financials;3020
Nelly Group;NELLY;SEK;SE0015245535;Consumer Services;4040
Netel Holding;NETEL;SEK;SE0016798417;Industrials;5010
NGS Group;NGS;SEK;SE0009947708;Industrials;5020
Nanologica;NICA;SEK;SE0005454873;Health Care;2010
Nil�rngruppen B;NIL B;SEK;SE0007100342;Consumer Services;4020
Nordisk Bergteknik B;NORB B;SEK;SE0015812128;Basic Materials;5510
NOVOTEK B;NTEK B;SEK;SE0000567752;Technology;1010
Oncopeptides;ONCO;SEK;SE0009414576;Health Care;2010
Oscar Properties Holding;OP;SEK;SE0016278303;Real Estate;3510
Oscar Properties Holding PREF;OP PREF;SEK;SE0016278311;Real Estate;3510
Oscar Properties Holding PREFB;OP PREFB;SEK;SE0016278329;Real Estate;3510
Ortivus A;ORTI A;SEK;SE0000188930;Health Care;2010
Ortivus B;ORTI B;SEK;SE0000123085;Health Care;2010
Orexo;ORX;SEK;SE0000736415;Health Care;2010
Ovzon;OVZON;SEK;SE0010948711;Telecommunications;1510
Projektengagemang Sweden B;PENG B;SEK;SE0011337666;Industrials;5010
Pierce Group;PIERCE;SEK;SE0015658364;Consumer Services;4040
PION Group B;PION B;SEK;SE0000567539;Industrials;5020
Precise Biometrics;PREC;SEK;SE0018013849;Technology;1010
Prevas B;PREV B;SEK;SE0000356008;Technology;1010
Profilgruppen B;PROF B;SEK;SE0000393860;Basic Materials;5510
Q-Linea;QLINEA;SEK;SE0011527845;Health Care;2010
Qliro;QLIRO;SEK;SE0013719077;Financials;3020
Railcare Group;RAIL;SEK;SE0010441139;Industrials;5020
Rizzo Group B;RIZZO B;SEK;SE0016276109;Consumer Services;4040
mySafety Group B;SAFETY B;SEK;SE0010769182;Technology;1010
Saniona;SANION;SEK;SE0005794617;Health Care;2010
SAS;SAS;SEK;SE0003366871;Consumer Services;4050
Seafire;SEAF;SEK;SE0009779796;Financials;3020
Senzime;SEZI;SEK;SE0002478776;Health Care;2010
Solid F�rs�kringsaktiebolag;SFAB;SEK;SE0017082548;Financials;3030
Sensys Gatso Group;SGG;SEK;SE0020356244;Technology;1010
SinterCast;SINT;SEK;SE0000950982;Industrials;5020
Sivers Semiconductors;SIVE;SEK;SE0003917798;Technology;1010
Sleep Cycle;SLEEP;SEK;SE0015961404;Technology;1010
Softronic B;SOF B;SEK;SE0000323305;Technology;1010
Starbreeze A;STAR A;SEK;SE0007158928;Consumer Services;4020
Starbreeze B;STAR B;SEK;SE0005992831;Consumer Services;4020
Strax;STRAX;SEK;SE0012040459;Consumer Services;4020
Stockwik F�rvaltning;STWK;SEK;SE0012257970;Financials;3020
Svedbergs Group B;SVED B;SEK;SE0000407991;Industrials;5010
Studsvik;SVIK;SEK;SE0000653230;Industrials;5020
SynAct Pharma;SYNACT;SEK;SE0008241491;Health Care;2010
Tobii;TOBII;SEK;SE0002591420;Technology;1010
TradeDoubler;TRAD;SEK;SE0001552357;Technology;1010
Transtema Group;TRANS;SEK;SE0006758587;Industrials;5020
Vicore Pharma Holding;VICO;SEK;SE0007577895;Health Care;2010
Vivesto;VIVE;SEK;SE0000722365;Health Care;2010
W�stbygg Gruppen B;WBGR B;SEK;SE0014453874;Industrials;5010
Wise Group;WISE;SEK;SE0007277876;Industrials;5020
Wall to Wall Group A;WTW A;SEK;SE0016075246;Industrials;5010
Xbrane Biopharma;XBRANE;SEK;SE0007789409;Health Care;2010
Xspray Pharma;XSPRAY;SEK;SE0009973563;Health Care;2010
