Symbol,Shortname,Longname,Sector,Industry,City,State,Country,Identifier
DFS,Discover Financial Services,Discover Financial Services,Financial Services,Credit Services,Riverwoods,IL,United States,NYSE
PPG,PPG Industries Inc.,PPG Industries Inc.,Basic Materials,Specialty Chemicals,Pittsburgh,PA,United States,NYSE
EXR,Extra Space Storage Inc,Extra Space Storage Inc.,Real Estate,REIT - Industrial,Salt Lake City,UT,United States,NYSE
FICO,Fair Isaac Corproation,Fair Isaac Corporation,Technology,Software - Application,Bozeman,MT,United States,NYSE
VICI,VICI Properties Inc.,VICI Properties Inc.,Real Estate,REIT - Diversified,New York,NY,United States,NYSE
ON,ON Semiconductor Corporation,ON Semiconductor Corporation,Technology,Semiconductors,Scottsdale,AZ,United States,NASDAQ_SE
XEL,Xcel Energy Inc.,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,Minneapolis,MN,United States,NASDAQ_SE
DG,Dollar General Corporation,Dollar General Corporation,Consumer Defensive,Discount Stores,Goodlettsville,TN,United States,NYSE
CDW,CDW Corporation,CDW Corporation,Technology,Information Technology Services,Vernon Hills,IL,United States,NASDAQ_SE
ADM,Archer Daniels Midland Company,Archer Daniels Midland Company,Consumer Defensive,Farm Products,Chicago,IL,United States,NYSE
HIG,Hartford Financial Services Gro,The Hartford Financial Services Group Inc.,Financial Services,Insurance - Property & Casualty,Hartford,CT,United States,NYSE
TSCO,Tractor Supply Company,Tractor Supply Company,Consumer Cyclical,Specialty Retail,Brentwood,TN,United States,NASDAQ_SE
GLW,Corning Incorporated,Corning Incorporated,Technology,Electronic Components,Corning,NY,United States,NYSE
WAB,Westinghouse Air Brake Technolo,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,Pittsburgh,PA,United States,NYSE
EFX,Equifax Inc.,Equifax Inc.,Industrials,Consulting Services,Atlanta,GA,United States,NYSE
GPN,Global Payments Inc.,Global Payments Inc.,Industrials,Specialty Business Services,Atlanta,GA,United States,NYSE
EIX,Edison International,Edison International,Utilities,Utilities - Regulated Electric,Rosemead,CA,United States,NYSE
ANSS,ANSYS Inc.,ANSYS Inc.,Technology,Software - Application,Canonsburg,PA,United States,NASDAQ_SE
HPQ,HP Inc.,HP Inc.,Technology,Computer Hardware,Palo Alto,CA,United States,NYSE
AVB,AvalonBay Communities Inc.,AvalonBay Communities Inc.,Real Estate,REIT - Residential,Arlington,VA,United States,NYSE
FTV,Fortive Corporation,Fortive Corporation,Technology,Scientific & Technical Instruments,Everett,WA,United States,NYSE
MTD,Mettler Toledo International I,Mettler Toledo International Inc.,Healthcare,Diagnostics & Research,Columbus,OH,United States,NYSE
WST,West Pharmaceutical Services I,West Pharmaceutical Services Inc.,Healthcare,Medical Instruments & Supplies,Exton,PA,United States,NYSE
CBRE,CBRE Group Inc,CBRE Group Inc.,Real Estate,Real Estate Services,Dallas,TX,United States,NYSE
DLTR,Dollar Tree Inc.,Dollar Tree Inc.,Consumer Defensive,Discount Stores,Chesapeake,VA,United States,NASDAQ_SE
KEYS,Keysight Technologies Inc.,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,Santa Rosa,CA,United States,NYSE
WEC,WEC Energy Group Inc.,WEC Energy Group Inc.,Utilities,Utilities - Regulated Electric,Milwaukee,WI,United States,NYSE
RJF,Raymond James Financial Inc.,Raymond James Financial Inc.,Financial Services,Capital Markets,Saint Petersburg,FL,United States,NYSE
FITB,Fifth Third Bancorp,Fifth Third Bancorp,Financial Services,Banks - Regional,Cincinnati,OH,United States,NASDAQ_SE
CHD,Church & Dwight Company Inc.,Church & Dwight Co. Inc.,Consumer Defensive,Household & Personal Products,Ewing,NJ,United States,NYSE
