Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NMS,FAST,Fastenal Company,Fastenal Company,Industrials,Industrial Distribution,Winona,MN,United States
NMS,CHTR,Charter Communications Inc.,Charter Communications Inc.,Communication Services,Telecom Services,Stamford,CT,United States
NYQ,AME,AMETEK Inc.,AMETEK Inc.,Industrials,Specialty Industrial Machinery,Berwyn,PA,United States
NYQ,CMI,Cummins Inc.,Cummins Inc.,Industrials,Specialty Industrial Machinery,Columbus,IN,United States
NYQ,HUM,Humana Inc.,Humana Inc.,Healthcare,Healthcare Plans,Louisville,KY,United States
NYQ,YUM,Yum! Brands Inc.,Yum! Brands Inc.,Consumer Cyclical,Restaurants,Louisville,KY,United States
NYQ,MSCI,MSCI Inc.,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NYQ,OTIS,Otis Worldwide Corporation,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,Farmington,CT,United States
NYQ,SYY,Sysco Corporation,Sysco Corporation,Consumer Defensive,Food Distribution,Houston,TX,United States
NMS,EXC,Exelon Corporation,Exelon Corporation,Utilities,Utilities - Regulated Electric,Chicago,IL,United States
NMS,CSGP,CoStar Group Inc.,CoStar Group Inc.,Real Estate,Real Estate Services,Washington,DC,United States
NYQ,MLM,Martin Marietta Materials Inc.,Martin Marietta Materials Inc.,Basic Materials,Building Materials,Raleigh,NC,United States
NYQ,RCL,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,Miami,FL,United States
NYQ,KVUE,Kenvue Inc.,Kenvue Inc.,Consumer Defensive,Household & Personal Products,Skillman,NJ,United States
NMS,ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Pembroke,,Bermuda
NMS,GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,Chicago,IL,United States
NMS,FANG,Diamondback Energy Inc.,Diamondback Energy Inc.,Energy,Oil & Gas E&P,Midland,TX,United States
NYQ,IR,Ingersoll Rand Inc.,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,Davidson,NC,United States
NMS,MPWR,Monolithic Power Systems Inc.,Monolithic Power Systems Inc.,Technology,Semiconductors,Kirkland,WA,United States
NYQ,PEG,Public Service Enterprise Group,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,Newark,NJ,United States
NMS,NDAQ,Nasdaq Inc.,Nasdaq Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NYQ,VMC,Vulcan Materials Company (Holdi,Vulcan Materials Company,Basic Materials,Building Materials,Birmingham,AL,United States
NYQ,LVS,Las Vegas Sands Corp.,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,Las Vegas,NV,United States
NMS,EA,Electronic Arts Inc.,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,Redwood City,CA,United States
NMS,VRSK,Verisk Analytics Inc.,Verisk Analytics Inc.,Industrials,Consulting Services,Jersey City,NJ,United States
NYQ,DAL,Delta Air Lines Inc.,Delta Air Lines Inc.,Industrials,Airlines,Atlanta,GA,United States
NYQ,IT,Gartner Inc.,Gartner Inc.,Technology,Information Technology Services,Stamford,CT,United States
NYQ,XYL,Xylem Inc.,Xylem Inc.,Industrials,Specialty Industrial Machinery,Washington,DC,United States
NYQ,ED,Consolidated Edison Inc.,Consolidated Edison Inc.,Utilities,Utilities - Regulated Electric,New York,NY,United States
NMS,CTSH,Cognizant Technology Solutions,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,Teaneck,NJ,United States
NYQ,DD,DuPont de Nemours Inc.,DuPont de Nemours Inc.,Basic Materials,Specialty Chemicals,Wilmington,DE,United States
